representation,model_name,n_clusters_requested,n_clusters_found,silhouette,davies_bouldin,calinski_harabasz,mean_dominant_purity,mean_scoliosis_rate,scoliosis_dominant_clusters,quality_score,bic,aic
robust_kpca_poly,gmm_tied,24,24,0.26144248247146606,1.1215885420919347,193.51979064941406,0.8294083277369548,0.7922149655435925,20,0.48430784759610196,29536.45732100157,26440.951268581663
robust_kpca_poly,kmeans,24,24,0.2297070324420929,1.1002992024819604,230.4522247314453,0.8082513941101065,0.7783902829989953,22,0.4648742427039437,,
standard_kpca_poly,kmeans,24,24,0.15565675497055054,1.227074534461997,231.43997192382812,0.8085970199193248,0.8082618992758931,23,0.4248795326197736,,
standard_kpca_poly,gmm_tied,24,24,0.1461571604013443,1.259578804583297,217.5092315673828,0.8160217459153194,0.7962989314163854,22,0.421217334936786,29788.29506269738,26692.789010277473
standard_kpca_poly,bayesian_gmm_full,24,24,0.09679140895605087,1.448376866312983,185.23802185058594,0.8238599232996253,0.809574209013911,22,0.3928225745657883,,
standard_kpca_poly,minibatch_kmeans,24,24,0.11592315882444382,1.6189252236060325,137.3218994140625,0.8073488540691104,0.7900994082214637,21,0.38982908421341267,,
robust_kpca_rbf,kmeans,24,24,0.161648228764534,1.7113950328137821,167.25160217285156,0.7438464722122434,0.7248894328747691,22,0.3880991033344779,,
standard_kpca_poly,gmm_spherical,24,24,0.11920041590929031,1.8688450201645432,164.7613983154297,0.804667527048061,0.7949009300539335,22,0.38218352837596226,22240.033382517726,19783.01108308314
standard_kpca_rbf,kmeans,24,24,0.15033696591854095,1.7158024670072827,148.9719696044922,0.732589965675153,0.7047102846030123,20,0.3794824475128618,,
robust_kpca_rbf,gmm_spherical,24,24,0.1316361278295517,1.6830778158852588,159.29588317871094,0.7495346401340544,0.7286466853725546,21,0.3772732240630934,-50247.87025268872,-52704.8925521233
standard_kpca_poly,gmm_full,24,24,0.07296520471572876,1.5162974282876085,188.3421630859375,0.8114049398467332,0.7987623249839518,22,0.37560814911905993,-9943.0475469357,-30870.49270058851
minmax_scaled,kmeans,24,24,0.11781778931617737,1.8537917634867007,151.7324981689453,0.777251277100694,0.7605023147420278,22,0.3737961360767794,,
minmax_kpca_poly,kmeans,24,24,0.11655404418706894,1.8144709296765222,158.1541748046875,0.774339189623182,0.7655296060607458,21,0.37357771817074437,,
robust_kpca_rbf,minibatch_kmeans,24,24,0.13839031755924225,1.8506497401067585,158.68885803222656,0.741741276703197,0.7283384989254192,22,0.3724973305597886,,
robust_kpca_rbf,spectral_nn,24,24,0.11842411011457443,1.7018455719417886,146.5809326171875,0.7552460370661871,0.7252167561409348,20,0.3723940052780079,,
standard_kpca_rbf,gmm_spherical,24,24,0.13534896075725555,1.7216900607445345,146.17039489746094,0.731284866358334,0.7049486655975059,19,0.3721471834218851,-49271.2752092717,-51728.29750870628
minmax_kpca_cosine,kmeans,24,24,0.12026731669902802,1.7943727165421668,157.2036590576172,0.7576671078799951,0.7431355867695265,22,0.37088594195867236,,
robust_kpca_poly,minibatch_kmeans,24,24,0.09280798584222794,1.6269423417650033,125.0793685913086,0.7777541517480572,0.7759425575451585,23,0.37025751604732093,,
robust_pca,kmeans,24,24,0.11520904302597046,1.8123169784403583,138.96665954589844,0.7646369184513485,0.7527919494240591,22,0.3701298185475145,,
robust_kpca_linear,kmeans,24,24,0.11520902812480927,1.8123170461589766,138.96664428710938,0.7646369184513485,0.7527919494240591,22,0.3701298097014707,,
minmax_kpca_sigmoid,kmeans,24,24,0.11450435221195221,1.8308847428623682,156.55044555664062,0.766236567592177,0.7517841043961905,21,0.36970954252923827,,
standard_kpca_poly,bayesian_gmm_diag,24,24,0.08705396205186844,1.8566607045055765,130.033447265625,0.8050831651679312,0.779845069929836,21,0.36821400089045775,,
minmax_scaled,minibatch_kmeans,24,24,0.10181643068790436,1.8922192925132577,144.1703338623047,0.7853207572226347,0.7723405549015275,22,0.3678524330841101,,
robust_scaled,kmeans,24,24,0.11017517000436783,1.817134047475979,136.9053497314453,0.7618370639522251,0.7444125498014853,20,0.36687261670962024,,
minmax_kpca_rbf,minibatch_kmeans,24,24,0.10578113049268723,1.8609135964828136,151.58644104003906,0.772703003528966,0.7446414904752582,21,0.3667970830915218,,
minmax_kpca_cosine,spectral_nn,24,24,0.10699530690908432,1.8062283780183612,142.06167602539062,0.7639475361484814,0.7532332504341955,21,0.36641969505582783,,
standard_kpca_rbf,gmm_tied,24,24,0.12466558068990707,1.853046604970637,136.67442321777344,0.7396462795398109,0.7163086699846262,21,0.3656190230063263,-51771.066492364684,-54866.57254478459
