cluster,n_regions,n_patients,scoliosis_n,normal_n,scoliosis_rate,normal_rate,dominant_class,dominant_purity,cluster_semantic_type
0,53,44,40,13,0.7547169811320755,0.24528301886792453,scoliosis,0.7547169811320755,scoliosis_dominant_region_type
1,31,20,28,3,0.9032258064516129,0.0967741935483871,scoliosis,0.9032258064516129,scoliosis_dominant_region_type
2,23,22,21,2,0.9130434782608695,0.08695652173913043,scoliosis,0.9130434782608695,scoliosis_dominant_region_type
3,17,2,17,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
4,1,1,1,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
5,33,33,18,15,0.5454545454545454,0.45454545454545453,scoliosis,0.5454545454545454,mixed_uncertain_region_type
6,42,39,19,23,0.4523809523809524,0.5476190476190477,normal,0.5476190476190477,mixed_uncertain_region_type
7,7,7,3,4,0.42857142857142855,0.5714285714285714,normal,0.5714285714285714,mixed_uncertain_region_type
8,79,56,76,3,0.9620253164556962,0.0379746835443038,scoliosis,0.9620253164556962,scoliosis_dominant_region_type
9,105,16,90,15,0.8571428571428571,0.14285714285714285,scoliosis,0.8571428571428571,scoliosis_dominant_region_type
10,11,11,11,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
11,1365,227,892,473,0.6534798534798535,0.3465201465201465,scoliosis,0.6534798534798535,scoliosis_leaning_region_type
12,5,5,2,3,0.4,0.6,normal,0.6,normal_leaning_region_type
13,11,11,10,1,0.9090909090909091,0.09090909090909091,scoliosis,0.9090909090909091,scoliosis_dominant_region_type
14,29,29,17,12,0.5862068965517241,0.41379310344827586,scoliosis,0.5862068965517241,mixed_uncertain_region_type
15,1,1,1,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
16,11,11,3,8,0.2727272727272727,0.7272727272727273,normal,0.7272727272727273,normal_leaning_region_type
17,48,48,42,6,0.875,0.125,scoliosis,0.875,scoliosis_dominant_region_type
18,8,7,8,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
19,78,78,67,11,0.8589743589743589,0.14102564102564102,scoliosis,0.8589743589743589,scoliosis_dominant_region_type
20,203,48,160,43,0.7881773399014779,0.21182266009852216,scoliosis,0.7881773399014779,scoliosis_dominant_region_type
21,14,12,14,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
22,34,31,29,5,0.8529411764705882,0.14705882352941177,scoliosis,0.8529411764705882,scoliosis_dominant_region_type
23,1,1,1,0,1.0,0.0,scoliosis,1.0,scoliosis_dominant_region_type
