seed,fold,best_epoch,best_val_total,checkpoint_path,bundle_path,train_manifest,val_manifest,n_train,n_val
42,1,10,4.034918344937838,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_1/checkpoints/kfold_seed42_fold1_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_1/artifacts/kfold_seed42_fold1_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_1/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_1/val_manifest.csv,199,50
42,2,10,3.6473433788006124,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_2/checkpoints/kfold_seed42_fold2_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_2/artifacts/kfold_seed42_fold2_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_2/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_2/val_manifest.csv,199,50
42,3,10,3.772478323716384,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_3/checkpoints/kfold_seed42_fold3_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_3/artifacts/kfold_seed42_fold3_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_3/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_3/val_manifest.csv,199,50
42,4,10,4.026813525419969,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_4/checkpoints/kfold_seed42_fold4_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_4/artifacts/kfold_seed42_fold4_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_4/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_4/val_manifest.csv,199,50
42,5,10,3.9658958728496847,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_5/checkpoints/kfold_seed42_fold5_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_5/artifacts/kfold_seed42_fold5_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_5/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_42/fold_5/val_manifest.csv,200,49
123,1,10,4.278135923238901,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_1/checkpoints/kfold_seed123_fold1_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_1/artifacts/kfold_seed123_fold1_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_1/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_1/val_manifest.csv,199,50
123,2,10,4.088839494265043,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_2/checkpoints/kfold_seed123_fold2_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_2/artifacts/kfold_seed123_fold2_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_2/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_2/val_manifest.csv,199,50
123,3,10,4.360851838038518,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_3/checkpoints/kfold_seed123_fold3_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_3/artifacts/kfold_seed123_fold3_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_3/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_3/val_manifest.csv,199,50
123,4,10,3.3148003358107347,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_4/checkpoints/kfold_seed123_fold4_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_4/artifacts/kfold_seed123_fold4_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_4/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_4/val_manifest.csv,199,50
123,5,10,3.9970456820267897,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_5/checkpoints/kfold_seed123_fold5_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_5/artifacts/kfold_seed123_fold5_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_5/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_123/fold_5/val_manifest.csv,200,49
777,1,10,3.8288435752575216,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_1/checkpoints/kfold_seed777_fold1_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_1/artifacts/kfold_seed777_fold1_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_1/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_1/val_manifest.csv,199,50
777,2,10,3.5802184618436375,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_2/checkpoints/kfold_seed777_fold2_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_2/artifacts/kfold_seed777_fold2_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_2/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_2/val_manifest.csv,199,50
777,3,10,4.223515437199519,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_3/checkpoints/kfold_seed777_fold3_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_3/artifacts/kfold_seed777_fold3_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_3/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_3/val_manifest.csv,199,50
777,4,10,3.679250350365272,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_4/checkpoints/kfold_seed777_fold4_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_4/artifacts/kfold_seed777_fold4_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_4/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_4/val_manifest.csv,199,50
777,5,10,3.6559789730952335,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_5/checkpoints/kfold_seed777_fold5_best.pt,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_5/artifacts/kfold_seed777_fold5_bundle.joblib,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_5/train_manifest.csv,/content/KFOLD_v02A_kfold_REAL_3seeds_10epochs_20260518_055211/seed_777/fold_5/val_manifest.csv,200,49
